question,answer,image_id
what is on the left side of the white oven on the floor and on right side of the blue armchair,garbage_bin,image1
what is on the left side of the fire extinguisher and on the right side of the chair,table,image1
what is between the the two white and black garbage bins,chair,image1
how many objects are between the fire extinguisher and the white oven on the floor,3,image1
what is the largest object in this picture,washing_machine,image1
how many plastic bottles are between the white fridge and the oven,5,image2
what is under the white cabinet on the right side of the oven and and on the left side of the fridge,sink,image2
what is on the left side of the white sink and under the cabinet,microwave,image2
how many white objects in this picture,9,image2
what is under the pan,oven,image2
what is on the right side of the black telephone and on the left side of the red chair,desk,image3
what is in front of the white door on the left side of the desk,telephone,image3
what is on the desk,"book, scissor, papers, tape_dispenser",image3
what is the largest brown objects,carton,image3
what color is the chair in front of the white wall,red,image3
what is on the right side of the notebook on the desk,plastic_cup_of_coffee,image4
what is on the right and left and in front of the papers on the desk,notebook,image4
what is on the desk and behind the black cup,bottle,image4
how many bottles are on the desk,11,image4
what is in front of the papers and notebook and bottles,chair,image4
what is on the left side of the cabinet and on the right side of the chair,whiteboard,image5
what is in front of the door and on the right of the table,chair,image5
how many chairs are on the right side of the table,3,image5
what is behind the whiteboard and in front of the wall,stacked_chairs,image5
what is in front of the white board or in front of the door,"table, chair",image5
what is in front of the stacked chairs and on the left side of the table,ladder,image6
how many dark blue armchairs are in this picture,8,image6
what is in front of the monitor,keyboard,image6
what color is the chair in front of the wall on the left side of the stacked chairs,blue,image6
what is in front of the black wall on the right side of the projector screen,monitor,image7
what color is the ladder between the projector screen and armchairs,red,image7
how many monitors are in this picture,3,image7
what color is the wall behind the projector screen,black,image7
what is on the wall below the clock on the left side of the green curtain and on the right side of the gray door,telephone,image8
what color is the garbage bin in front of the gray door on the left side of the fire extinguisher,blue,image8
how many red objects are in this picture,1,image8
what are on the wall on the left side of the green curtain but not behind the garbage bin,"clock, telephone",image8
what is the largest dark gery object in this picture,door,image8
what color is the red object in front of the wall on the left side of the desk,paper_tray,image9
what is above the desk in fornt of the scissor,hole_puncher,image9
what is the largest blue object in this picture,garbage_bin,image9
what is on the wall on the left side of the door above the desk,framed_certificate,image9
what is on the floor on the right side of the image10 behind the door frame in fornt of the cabinet,garbage_bin,image10
how many blue objects are in this picture on the top of the white cabinet not on the floor,1,image10
what is the largest white object on the left side of the picture,printer,image10
what is between the paper holder and tape dispenser below the white paper rack,hole_puncher,image11
what is the blue object in the black pen stand,scissor,image11
what color is the fax machine below the paper rack in front of the wall on the top of the cabinet,white,image11
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what is the black object between the white wall and gray locker,garbage_bin,image12
what is on the right side of the wall on the top of the cabinet on the left side of the hole puncher,paper_holder,image12
what color is the tape dispenser on the right side of the hole puncher in front of the wall,gray,image12
how many table fans are in this picture,1,image13
what is the black and white object on the cabinet door between the pictures,clock,image13
what is in fornt of the window on the left side of the fan coil on the right side of the wall,ornamental_plant,image14
what color is the ornamental plant in fornt of the fan coil but not close to sofa,red,image14
what the largest light green object in this picture,sofa,image14
what is in fornt of the white wall below the colorful picture but not close to window,sofa,image14
how many ornamental plants are in this picture,3,image14
what is the red object on the wall on the left side of the corridor,fire_extinguisher,image15
what is on the wall on the left side of the door and on the right side of the picture,fire_alarm,image15
what color is the door on the right side of the corridor,brown,image15
how many ceiling lamps are on in the corridor,1,image15
what is the smallest black object on the table below the bookshelf,tape_dispenser,image16
what is the white object on the table on the right side of the wall below the bookshelf,printer,image16
what is in front of the wall on the left side of the picture,ladder,image16
what color is the table below the printer but not below the tape dispenser or paper tray,brown,image16
what is on the right side of the brown table and on the left side of the door frame in fornt of the wall,ladder,image17
what is the brown object above the file cabinet,bookshelf,image17
what is on the right side of the ladder,door_way,image18
how many ladders are in this picture,1,image18
how many chairs are around the conference table,6,image19
what has been mounted on the ceiling between two ceiling lights,projector,image19
what color is the chair in front of the wall on the right side of the door behind the black chair,pink,image19
what is on the top of the computer case on the right side of the picture,modem,image20
what color is the table below the computer case in front of the wall,brown,image20
how many papers are on the wall on the left side of the modem,1,image20
what is on right side of the door way and on the left side of the armchair in frot of the wall,water_dispenser,image21
what is on the right side of the blue water carboy and on the left side of the black cables,telephone_cord,image21
what is on the table on the right side of the armchair in fornt of the wall,hand_sanitizer_dispenser,image21
what is the largest blue object in this picture,water_carboy,image21
what is the brown object on the desk on the left side of the paper in fornt of the computer chair,paper_tray,image22
what color is the garbage bin on the floor on the left side of the desk,purple,image22
what is between the computer chair and sofa and on the right side of the column,wall_divider,image22
what color is the paper holder on the right side of the water spray bottle,black,image22
how many tape dispensers are on the desk,1,image22
what is on the top right of the clock on the wall,framed_certificate,image23
how many hanging hooks are on the wall on the left side of the brown board below the red fire alarm,3,image23
what color are the paper trays in the bookshelf on the left side of the wall divider not on the desk in front of the computer chair,black,image23
what is the smallest dark blue object on the desk,pen,image23
what is the black and white object on the top right of the brown board,clock,image23
what color is the garbage bin in front of the white board on the floor,blue,image28
how many ceiling lamps are off in this picture,2,image28
what is the black object on the right side of the flipped table,chair,image28
what is the largest white object in this picture,whiteboard,image28
what is the blue object on the left side electrical outlet behind the computer case,water_carboy,image30
how many black objects are on the desk,3,image30
how many red objects are on the wall,1,image30
what are the small objects below the whiteboard,"whiteboard_eraser, whiteboard_marker",image33
what colors are the writings on the whiteboard,"red, black",image33
how many chairs are in fornt of the whiteboard,1,image33
how many mugs are on the table in front of the wall,1,image42
what color is the wall behind the cable outlets below the whiteboards,gray,image42
what color is the whole circle on the whiteboard,green,image42
what is behind the whiteboard on the gray part of the wall,electrical_outlet,image42
how many toothbrushes are in toothbrush holder,2,image44
how many frames are reflected in the mirror,2,image44
what is the white object between the bathroom basin and the door,toilet,image44
what is in front of red bag on the bathroom basin,hair_brush,image44
what is the white object in front of the window on the left side of the fan coil,lamp_shade,image50
what color is the flower on the top pf the fan coil,purple,image50
how many frames are in this picture on the windowsill but not on the side table,1,image50
what is on the right side of the side table and below the colorful painting,sofa,image50
what is between two dark brown and beige couches,bookshelf,image51
what is the colorful object on the arm of the beige couch,blanket,image51
what is the largest yellow and white object in this picture,pillow,image51
how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
what is on the floor on the left side of the wardrobe door,head_phone,image59
what are in the wardrobe on the right side of the picture,shirts_in_hanger,image59
what color is the basketball hoop above the computer chair,"red, white",image59
what is the brown wooden object behind the flat screen in front of the wall,dresser,image63
what is between the dresser and the desk on the floor,cables,image63
what color is the desk drawer on the left side of the dresser,white,image63
what is on the mattress in front of the wall,blanket,image65
how many bottles of water are on the night stand,1,image73
what color is the bedside lamp behind the bottle of water,black,image73
what is below the blanket and pillows on the left side of the night stand,mattress,image73
what are the white objects on the mattress,"blanket, pillow",image73
what color is the lamp shade on the night stand on the left side of the bed,brown,image76
what is the largest dark brown object in this picture,blinds,image76
what is the gray object on the mattress below the blanket,pillow,image76
what color is the bedhead in this picture,brown,image76
what is on the wall above the night stand,picture,image76
what color is the frame on the wall above the desk,black,image77
what is the red and gray object in front of the mirror and close to the edge of the desk,deoderant,image77
what is in the corner of the wall on the left sight of the blinds,bookshelf,image77
what is on the floor on the left side of the desk,bicycle,image78
how many framed pictures are on the wall,2,image78
how many drawer knobs are in this picture,2,image78
what is the smallest brown object in this picture,lamp_shade,image79
how many drawers does the night stand have on right side of the bed,2,image79
what color is the bed sheet below the blanket and pillows,gray,image79
what is the rectangular shaped object on the night stand on the right side of the bed,laptop,image79
what is in the corner of the wall on the left side of the bookshelf,hockey_stick,image80
what color is the hat on the top right of the bookshelf,"black, white",image80
what color is the bookshelf in front of wall,brown,image80
what is the red object on the dresser,deoderant,image82
how many knobs are in the first row of the drawers,5,image82
what color is the blanket on the mattress,brown,image82
what is on the top of the dresser close to the red deoderant,box,image82
how many tables are in front of the bookshelf close to the ladder,1,image84
what are the blue and white objects above the tables on the left side of the picture,umbrella,image84
what color are the bookshelves in this picture,brown,image84
how many ladders are in this picture,1,image87
what color are the bookshelves,brown,image87
what is the most frequent object in this picture,book,image87
what colors are the backpacks in the store,"pink, purple, blue, black",image91
what is the red object on the white column,fire_alarm,image91
what is in the cartons close to the notebooks,file_holder,image93
what color is the lamp shade near the laptop on the table,red,image93
which object is made of glass and wood in this picture,display_case,image93
what color is the wall behind the laptop and lampshade,purple,image93
what colors are the sweatshirts in front of the store,"gray, blue, black",image95
how many stairs are between the front side and the back side of the store,3,image95
what colors are the mugs in the shelf,"white, black, purple, blue",image97
what are the shelves made of,glass,image97
what colors are the sweatshirts,"pink, blue, black, white",image99
how many shelves does the bookcase have on the left side of the sweatshirts,6,image99
how many steps does the step stool have,3,image104
what colors are the sticker notes on the shelves,"pink, yellow",image104
how many shelves does the bookcase have close to the step stool,7,image104
what is on the top of the monitor on the cash desk,soft_toy,image114
how many lamps are above the cash desk in this picture,2,image114
