question,answer,image_id
what is the object on the shelves,cup,image100
how man chairs are there,6,image888
what is hanged to the right side of the bed,curtain,image1174
how many picture are on the wall,2,image942
what is the object on the floor behind the rack,room_divider,image1220
what is the object on the floor in front of the cabinet,garbage_bin,image541
what is beneath the stove,oven,image576
what is on the night stand,lamp,image1013
what is on the above the stove,microwave,image867
what is on the wall,spot_light,image1070
what is above the cupboards,books,image110
what is the object left of the shelf,soft_toy,image1001
what is above the drawer,mirror,image1031
what is on the shelf,bag,image612
what is in front of the bed,night_stand,image1033
what is to the left of the sofa,lamp,image488
what is around the table,chair,image467
what is to the right of cot,drawer,image79
what is on the wall,"picture, wall_decoration",image565
what is beneath the picture,sofa,image1271
what is the colour of the lamps,brown,image1110
what are the objects close to the wall above the counter,cabinet,image144
how many chairs are there,10,image1404
what is on table,computer,image557
what is on the floor in front of the toilet,floor_mat,image506
what is the object found behind the sink,mirror,image680
what is on the table,"box, decorative_item",image1420
what is in front of the sofa,table,image588
what is to the left of the book rack,table,image1217
what is the blue object that is in front of the counter and to the right of the photocopying machine,garbage_bin,image10
what are the things on the cabinet,"bottle, vase, decorative_item",image1392
what is the object close to the tissue rod,tissue,image705
what are on the sofa,"pillow, remote_control",image1311
what is in between sofas,lamp,image379
what is the object on the floor in front of the window,piano,image980
what is in front of the shelves,table,image212
what is behind the chair,bed,image531
what is stuck on the ceiling,fan,image1336
what is in front of the bottle of hand wash liquid,shaver,image660
what is right of oven,sink,image559
what is the colour that is dominating on the poster board,yellow,image37
what is behind the cpu,water_dispenser,image30
what is on the table,coffee_machine,image495
what is on the refrigerator,"paper, magnet",image852
what is found near the computer table,chair,image1170
what is on the floor in between the storage racks,basket,image1047
what is on the sofa,bag,image1217
how many monitors are there in the table,2,image528
what is on the left side of the paper,newspapers,image772
what is on the mattress in front of the wall,blanket,image65
what is on the bed,"pillow, rug",image64
what is the object on the window pane,plant,image736
what is to the left of the window,bookshelf,image1099
what is in front of the dining table,cabinet,image1435
what is border colour of floor mat,brown,image780
how many containers are there,3,image872
what is to the left of the computer,toy,image633
what is in front of the table,ornamental_plant,image464
what is found on the top of the table,photo,image1161
what is in front of the window,sofa,image1269
what is in front of the person on the table,tissue_box,image589
what is the colour of the pillow,red,image607
what objects are on the table,"tissue_box, book",image1274
what is on the coffee table,vase,image1208
what is in front of the blinds,excercise_equipment,image1132
what is on the right side of the tap,bottle_of_hand_wash_liquid,image661
what is on the right side of the cupboard,oven,image907
what is on the right side of the cupboard,basket,image443
what is on the left side of the sink,bottle_of_soap,image574
what is the object close to the towel rod,towel,image690
what is at the right side,wardrobe,image1069
